pl_name,hostname,pl_orbper,pl_bmasse,pl_rade,st_teff,st_mass,st_rad,disc_year,disc_facility,sy_dist,ra,dec,pl_eqt,pl_dens
KOI-3503 b,KOI-3503,21.185,9.2,1.19,6001.0,0.858,1.255,2021,Kepler,887.064,293.1507654,41.7291532,785.0,10.0
Kepler-1478 b,Kepler-1478,26.0840594,,1.73,5904.0,1.04,1.06,2016,Kepler,1845.58,293.1650085,41.746184,,
Kepler-401 c,Kepler-401,47.318218,,2.15,6117.0,,1.333,2014,Kepler,965.56,290.0827494,50.8634361,,
Kepler-172 e,Kepler-172,35.118736,,2.76,5526.0,,1.085,2014,Kepler,828.592,283.3684093,41.821839,,
Kepler-172 b,Kepler-172,2.940309,,2.35,5526.0,,1.085,2014,Kepler,828.592,283.3684093,41.821839,,
Kepler-1701 b,Kepler-1701,169.134,,2.22186207,5146.0,0.87,0.840217,2020,Kepler,584.142,286.6088625,41.8892986,,
Kepler-483 b,Kepler-483,30.229104,,3.21,6346.0,1.28,1.47,2016,Kepler,860.355,291.6467764,41.8846843,,
Kepler-1649 c,Kepler-1649,19.53527,,1.06,3240.0,0.1977,0.2317,2020,Kepler,92.1913,292.5029676,41.8299933,234.0,
Kepler-965 b,Kepler-965,134.2527298,,3.38,5886.0,1.05,1.15,2016,Kepler,582.828,298.5153169,41.8912305,,
Kepler-1882 b,Kepler-1882,13.78730011,,1.48674404,5691.0,1.068,1.458,2021,Kepler,443.371,290.6640856,43.4997866,,
Kepler-1769 b,Kepler-1769,89.1934967,,4.465,6071.0,1.061,1.295,2021,Kepler,438.412,294.7433755,43.4611633,,
Kepler-471 b,Kepler-471,5.014234575,,14.96,6733.0,1.49,1.8,2016,Kepler,1249.41,299.0975167,43.4975851,,
Kepler-116 b,Kepler-116,5.968734,,3.42,6142.0,,1.454,2014,Kepler,955.168,294.7420605,43.5367842,,
Kepler-1561 b,Kepler-1561,1.005207007,,1.09,5957.0,1.07,1.11,2016,Kepler,839.076,296.9235822,43.5664628,,
Kepler-1159 b,Kepler-1159,22.70816791,,2.37,6217.0,1.19,1.28,2016,Kepler,1213.71,294.266325,45.2042317,,
Kepler-215 c,Kepler-215,14.667108,,1.77,5739.0,,1.027,2014,Kepler,485.997,294.9735313,45.2136867,,
Kepler-215 b,Kepler-215,9.360672,,1.62,5739.0,,1.027,2014,Kepler,485.997,294.9735313,45.2136867,,
Kepler-115 c,Kepler-115,8.990889,,2.6,5979.0,,1.205,2014,Kepler,623.609,297.7119299,45.261985,,
Kepler-1176 b,Kepler-1176,24.1738579,,2.45,5844.0,1.01,1.02,2016,Kepler,864.699,297.919724,45.2742038,,
Kepler-329 b,Kepler-329,7.416397,,1.4,4257.0,,0.523,2014,Kepler,439.719,299.2681646,45.2272852,,
Kepler-1877 b,Kepler-1877,2.377569914,,0.624086,5615.0,1.022,0.936,2021,Kepler,285.312,294.866924,46.7904816,,
Kepler-1557 b,Kepler-1557,3.74032496,,1.53,6099.0,1.11,1.17,2016,Kepler,1380.16,293.8813592,46.8388172,,
BD+20 594 b,BD+20 594,41.6855,22.2481,2.57807,5766.0,1.67,1.08,2016,K2,179.461,53.6511231,20.5990205,,
K2-176 b,K2-176,5.329439,,1.49090097,5428.0,0.938545,0.86416,2018,K2,247.302,58.2691796,17.9069486,,
K2-182 b,K2-182,4.7369696,20.97667486,2.71257333,5128.0,0.823,0.789,2018,K2,154.83,130.180046,10.9829509,965.8,5.7
Kepler-1367 b,Kepler-1367,1.574090272,,0.92,4106.0,0.62,0.6,2016,Kepler,401.484,288.4166786,47.8787308,,
Kepler-194 b,Kepler-194,2.092281,,1.51,6089.0,,1.025,2014,Kepler,1097.97,291.971429,47.8640498,,
Kepler-283 b,Kepler-283,11.008151,,2.13,4351.0,,0.566,2014,Kepler,468.094,293.6137413,47.838938,,
Kepler-222 c,Kepler-222,10.08881,,4.64,5433.0,,0.869,2014,Kepler,758.854,287.9060885,46.9377479,,
Kepler-169 e,Kepler-169,13.767102,,2.2,4997.0,,0.763,2014,Kepler,406.529,285.9999204,40.9193822,,
Kepler-169 c,Kepler-169,6.195469,,1.21,4997.0,,0.763,2014,Kepler,406.529,285.9999204,40.9193822,,
Kepler-1458 b,Kepler-1458,47.9872764,,2.76,5653.0,0.96,0.94,2016,Kepler,544.45,283.2115971,41.0380135,,
Kepler-1675 b,Kepler-1675,63.0382,,3.12483349,5853.19,1.06,1.12865,2020,Kepler,651.117,283.8095478,41.0412517,,
Kepler-1932 b,Kepler-1932,0.524177015,,1.51482218,5278.0,0.911,0.815,2021,Kepler,713.733,285.3314903,41.0638435,,
Kepler-1599 b,Kepler-1599,122.363553,,1.62,5767.0,0.99,0.99,2016,Kepler,1328.2,286.2208685,41.1511886,,
HD 17156 b,HD 17156,21.21663,1115.5833,12.3299,6040.0,1.41,1.55,2007,Subaru Telescope,78.0863,42.4366123,71.7530882,,
Kepler-115 b,Kepler-115,2.403679,,1.09,5979.0,,1.205,2014,Kepler,623.609,297.7119299,45.261985,,
TOI-5344 b,TOI-5344,3.792622,130.94530368,10.60369574,3747.0,0.612,0.588,2023,Transiting Exoplanet Survey Satellite (TESS),138.367,63.2662165,20.9151568,689.0,0.604
WASP-78 b,WASP-78,2.17518,352.7913,21.63337,6100.0,1.87,2.46,2012,SuperWASP,754.258,63.7562662,-22.1163901,,
Kepler-1581 b,Kepler-1581,6.28385491,,0.8,6022.0,1.12,1.23,2016,Kepler,493.175,287.3713199,39.6036225,,
Kepler-961 b,Kepler-961,16.87727414,,2.55,5582.0,0.96,0.9,2016,Kepler,574.314,282.0354942,43.6312491,,
K2-266 b,K2-266,0.658524,11.26782377,3.3,4285.0,0.686,0.703,2018,K2,77.5586,157.9356855,0.9372782,1515.0,
K2-266 d,K2-266,14.697,8.9,2.93,4285.0,0.686,0.703,2018,K2,77.5586,157.9356855,0.9372782,538.3,2.03
Kepler-430 b,Kepler-430,35.968,,3.25,5884.0,1.166,1.485,2015,Kepler,917.477,292.8085984,49.5794242,667.0,
Kepler-842 b,Kepler-842,1.21956827,,1.6,4848.0,0.78,0.73,2016,Kepler,532.726,292.3285976,49.6535171,,
Kepler-1951 b,Kepler-1951,20.65780067,,2.32107188,5468.0,0.923,1.306,2021,Kepler,1277.32,290.4999139,40.2877161,,
Kepler-475 b,Kepler-475,3.105508189,,2.49,5009.0,0.86,0.79,2016,Kepler,280.069,287.051694,40.2114232,,
